Year,Region,Temperature,Secchi,Salinity
1994,SouthCentral,16.93560156,84.79988492,0.23795836
1995,SouthCentral,16.48012743,64.70692957,0.18690084
1996,SouthCentral,17.41093855,67.53447644,0.140945712
1997,SouthCentral,17.78551354,62.27968094,0.137353682
1998,SouthCentral,16.15990802,53.44271104,0.116186102
1999,SouthCentral,16.24803718,61.35699817,0.138338922
2000,SouthCentral,17.35217287,70.8831765,0.15804623
2001,SouthCentral,17.94403688,66.44083952,0.21490174
2002,SouthCentral,17.45104972,68.63662268,0.208599274
2003,SouthCentral,17.50860164,69.47274845,0.179174327
2004,SouthCentral,17.75465627,67.18256036,0.189988961
2005,SouthCentral,16.59097526,69.20581588,0.155037028
2006,SouthCentral,16.34352847,71.4688065,0.120737169
2007,SouthCentral,17.10667738,81.43616401,0.196744452
2008,SouthCentral,16.92567489,73.65197218,0.220880174
2009,SouthCentral,17.03300293,99.24109199,0.230236873
2010,SouthCentral,16.6131944,99.68659734,0.170053923
2011,SouthCentral,15.72605403,88.77311965,0.097581626
2012,SouthCentral,17.38959105,109.9288928,0.19976395
2013,SouthCentral,17.58190143,104.937591,0.189695919
2014,SouthCentral,18.31569783,134.4328632,0.283984398
2015,SouthCentral,18.8681066,117.5768886,0.287529935
2016,SouthCentral,18.04374336,107.6001975,0.18100539
2017,SouthCentral,16.3297878,88.07462902,0.100230028
2018,SouthCentral,17.37724687,118.1434192,0.17402559
2019,SouthCentral,16.45938906,104.2596392,0.120945929
2020,SouthCentral,18.04264201,149.1379714,0.194010458
2021,SouthCentral,NA,NA,NA
1975,Suisun Bay,14.70598171,30.53830323,2.259031313
1976,Suisun Bay,16.31677399,50.78125,9.087641219
1977,Suisun Bay,15.92478401,68.91472494,14.13764066
1978,Suisun Bay,16.25011646,31.31037593,4.933416257
1979,Suisun Bay,15.95759159,34.65218254,5.292619458
1980,Suisun Bay,15.73722672,27.18679888,3.372063106
1981,Suisun Bay,16.37233848,37.16846292,7.2839765
1982,Suisun Bay,15.0816283,27.01011705,1.466044918
1983,Suisun Bay,16.08568453,30.05596754,0.499460866
1984,Suisun Bay,16.3612498,37.78597533,3.538922734
1985,Suisun Bay,15.49060773,53.9869817,7.738523158
1986,Suisun Bay,15.97582471,34.50537073,4.606580048
1987,Suisun Bay,16.46945273,45.42040568,9.045605239
1988,Suisun Bay,16.24693694,41.54452793,10.19422517
1989,Suisun Bay,15.98880814,38.20009193,8.616406847
1990,Suisun Bay,16.47998938,40.3940921,9.991678361
1991,Suisun Bay,15.6319183,42.18355349,10.26112957
1992,Suisun Bay,16.76948107,48.39371106,9.592528674
1993,Suisun Bay,15.94234976,38.24858393,4.765530062
1994,Suisun Bay,15.51257377,39.76356428,8.380806138
1995,Suisun Bay,15.89924568,35.56894653,3.245552001
1996,Suisun Bay,16.41352714,35.19693684,4.098605749
1997,Suisun Bay,16.76945453,36.04779772,4.959160344
1998,Suisun Bay,15.7755082,30.34780419,2.320095275
1999,Suisun Bay,15.01261252,31.70115523,3.981522403
2000,Suisun Bay,16.08100543,32.74077665,5.601203791
2001,Suisun Bay,16.07837815,38.41857398,9.092564282
2002,Suisun Bay,16.04452747,34.74921927,6.735767478
2003,Suisun Bay,16.48199019,34.70554238,5.273083511
2004,Suisun Bay,16.39057955,37.43847086,6.617762198
2005,Suisun Bay,16.24703676,43.7204778,4.961782029
2006,Suisun Bay,15.99261722,40.51668133,3.850874161
2007,Suisun Bay,16.01668805,44.3360097,7.621148972
2008,Suisun Bay,15.74715739,45.69499525,8.12522796
2009,Suisun Bay,15.72637427,49.01358792,8.264395856
2010,Suisun Bay,15.82974704,43.6701212,6.342727173
2011,Suisun Bay,15.46726387,45.64453816,3.144273087
2012,Suisun Bay,15.92309063,46.5039402,7.792195526
2013,Suisun Bay,16.3963403,43.59799117,7.710060804
2014,Suisun Bay,16.92420461,47.53451538,11.28701379
2015,Suisun Bay,17.42360629,47.93891569,10.82184859
2016,Suisun Bay,16.57591779,44.52983191,7.634604611
2017,Suisun Bay,16.65620438,42.29133565,3.570064047
2018,Suisun Bay,16.46706663,47.97830483,7.480297881
2019,Suisun Bay,16.46237679,43.4941741,4.135429415
2020,Suisun Bay,16.9240713,51.3675146,8.990673976
2021,Suisun Bay,NA,NA,NA
1975,Suisun Marsh,NA,NA,NA
1976,Suisun Marsh,NA,NA,NA
