"Taxa","Region","p1"
"Daphnia.Adult","Confluence","0.554"
"Daphnia.Adult","South Central","0.158"
"Daphnia.Adult","Suisun Bay","0.00586"
"Daphnia.Adult","Suisun Marsh","0.0204"
"Pseudodiaptomus.forbesi.Adult","Confluence","0.0454"
"Pseudodiaptomus.forbesi.Adult","South Central","0.0377"
"Pseudodiaptomus.forbesi.Adult","Suisun Bay","6.66e-07"
"Pseudodiaptomus.forbesi.Adult","Suisun Marsh","5.96e-06"
"Hyperacanthomysis.longirostris.Adult","Confluence","0.0426"
"Hyperacanthomysis.longirostris.Adult","South Central","0.608"
"Hyperacanthomysis.longirostris.Adult","Suisun Bay","0.0801"
"Hyperacanthomysis.longirostris.Adult","Suisun Marsh","0.214"
"Limnoithona.tetraspina.Adult","Confluence","0.00111"
"Limnoithona.tetraspina.Adult","South Central","0.371"
"Limnoithona.tetraspina.Adult","Suisun Bay","0.139"
"Limnoithona.tetraspina.Adult","Suisun Marsh","0.000283"
